-0,19	-0,094	-0,086	-0,079
-0,18	-0,087	-0,075	-0,070
-0,17	-0,094	-0,078	-0,062
-0,16	-0,058	-0,053	-0,063
-0,15	-0,057	-0,087	-0,102
-0,14	-0,038	-0,067	-0,097
-0,13	-0,069	-0,113	-0,050
-0,12	-0,052	-0,078	-0,050
-0,11	-0,017	-0,120	-0,106
-0,10	0,031	-0,192	-0,201
-0,09	0,037	-0,019	-0,126
-0,08	-0,424	-0,071	-0,051
-0,07	0,144	0,024	-0,029
-0,06	0,058	-0,218	-0,027
-0,05	-0,127	-0,120	-0,004
-0,04	-0,170	-0,071	0,023
-0,03	-0,157	-0,064	-0,052
-0,02	-0,070	-0,072	0,117
-0,01	-0,411	-0,098	-0,075
0	-0,021	-0,121	-0,073
0,01	-0,045	-0,121	-0,075
0,02	-0,050	-0,050	-0,053
0,03	-0,040	0,017	-0,002
0,04	0,033	0,131	0,013
0,05	0,044	-0,071	0,036
0,06	0,077	0,123	0,053
0,07	-0,124	-0,014	0,011
0,08	-0,132	-0,168	-0,021
0,09	-0,085	-0,177	-0,096
0,10	-0,113	-0,011	-0,071
0,11	-0,062	-0,123	-0,146
0,12	-0,077	-0,136	-0,180
0,13	-0,065	-0,089	-0,150
0,14	-0,089	-0,124	-0,097
0,15	-0,087	-0,077	-0,112
0,16	-0,103	-0,127	-0,103
0,17	-0,111	-0,107	-0,112
0,18	-0,103	-0,100	-0,100
0,19	-0,108	-0,119	-0,109
