0	0	499
0	30	509
1	0	518
1	30	530
2	0	542
2	30	555
3	0	567
3	30	576
4	0	583
4	30	586
5	0	585
5	30	580
6	0	573
6	30	565
7	0	554
7	30	544
8	0	535
8	30	526
9	0	520
9	30	516
10	0	515
10	30	517
11	0	520
11	30	526
12	0	531
12	30	540
13	0	548
13	30	555
14	0	560
14	30	564
15	0	565
15	30	565
16	0	563
16	30	560
17	0	556
17	30	550
18	0	545
18	30	540
19	0	534
19	30	530
20	0	528
20	30	527
21	0	529
21	30	530
22	0	533
22	30	538
23	0	542
23	30	548
24	0	551
24	30	556
25	0	559
25	30	561
26	0	561
26	30	560
27	0	558
27	30	554
28	0	550
28	30	547
29	0	543
29	30	540
30	0	536
