0	0	645
0	30	635
1	0	628
1	30	618
2	0	610
2	30	600
3	0	592
3	30	585
4	0	582
4	30	583
5	0	588
5	30	592
6	0	600
6	30	650
7	0	613
7	30	620
8	0	625
8	30	630
9	0	634
9	30	635
10	0	634
10	30	630
11	0	626
11	30	621
12	0	615
12	30	610
13	0	605
13	30	601
14	0	598
14	30	595
15	0	595
15	30	597
16	0	600
16	30	603
17	0	609
17	30	612
18	0	616
18	30	620
19	0	623
19	30	625
20	0	625
20	30	624
21	0	622
21	30	619
22	0	615
22	30	613
23	0	610
23	30	606
24	0	604
24	30	601
25	0	601
25	30	603
26	0	605
26	30	606
27	0	609
27	30	611
28	0	613
28	30	615
29	0	617
29	30	619
30	0	620
